Baseline Sync, Baseline tACS rTPJ, Baseline tACS rDLPFC, Basline Sham, Punishment Sync, Punishment tACS rTPJ, Punishment tACS rDLPFC, Punishment Sham,,,tACS Sync Transfer Diff,tACS rTPJ Transfer Diff,tACS rDLPFC Transfer Diff,Sham Transfer Diff
24.44444444,27.77777778,21,17,83,84.54545455,83,85,,,58.55555556,56.76767677,62,68
4,4.444444444,7,2.222222222,36,41.81818182,49,40,,,32,37.37373737,42,37.77777778
33.33333333,50,32,28.88888889,51.11111111,58.88888889,58.88888889,61,,,17.77777778,8.888888889,26.88888889,32.11111111
17.77777778,17.77777778,13.63636364,13.63636364,45.45454545,48,48.88888889,48.88888889,,,27.67676768,30.22222222,35.25252525,35.25252525
59,52,57.77777778,61.81818182,52.22222222,61,50,64.44444444,,,-6.777777778,9,-7.777777778,2.626262626
20,20,20,18.18181818,50,81,50,50,,,30,61,30,31.81818182
27,30,20,17.77777778,71.11111111,68,77.27272727,75.55555556,,,44.11111111,38,57.27272727,57.77777778
15.55555556,5,11,11,62.22222222,63.33333333,55.55555556,61,,,46.66666667,58.33333333,44.55555556,50
10,15,15,10,72,76.66666667,77.5,80,,,62,61.66666667,62.5,70
90,88,33,72,90,85,81,89,,,0,-3,48,17
50,46.66666667,47.5,50,59,59,58,59,,,9,12.33333333,10.5,9
0,4,18.75,10,33.75,35,30,44,,,33.75,31,11.25,34
12,13,9,8,46,44,56,40,,,34,31,47,32
